,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
75,<a href=https://cryptocompare.com/coins/miota/overview>MIOTA</a>,<a href=https://cryptocompare.com/coins/miota/overview>IOTA</a>,1.43,<p class=red>-0.49%</p>,<p class=green>+0.56%</p>,"80,753,921.0","3,966,389,714.0","2,779,530,283.0",2021-11-30 21:41:52
76,<a href=https://cryptocompare.com/coins/ar/overview>AR</a>,<a href=https://cryptocompare.com/coins/ar/overview>Arweave</a>,59.75,<p class=red>-1.02%</p>,<p class=red>-2.88%</p>,"67,817,403.0","3,859,801,542.0","64,598,643.0",2021-11-30 21:41:54
77,<a href=https://cryptocompare.com/coins/lrc/overview>LRC</a>,<a href=https://cryptocompare.com/coins/lrc/overview>Loopring</a>,2.75,<p class=red>-1.4%</p>,<p class=red>-6.36%</p>,"303,058,593.0","3,782,273,581.0","1,373,873,440.0",2021-11-30 21:41:56
78,<a href=https://cryptocompare.com/coins/neo/overview>NEO</a>,<a href=https://cryptocompare.com/coins/neo/overview>NEO</a>,37.55,<p class=red>-1.03%</p>,<p class=red>-2.39%</p>,"83,198,459.0","3,754,999,999.0","100,000,000.0",2021-11-30 21:41:33
79,<a href=https://cryptocompare.com/coins/ksm/overview>KSM</a>,<a href=https://cryptocompare.com/coins/ksm/overview>Kusama</a>,387.57,<p class=green>+0.52%</p>,<p class=green>+5.16%</p>,"97,460,935.0","3,740,522,347.0","9,651,217.0",2021-11-30 21:41:44
80,<a href=https://cryptocompare.com/coins/anc/overview>ANC</a>,<a href=https://cryptocompare.com/coins/anc/overview>Anchor Protocol</a>,3.29,<p class=red>-0.97%</p>,<p class=green>+3.16%</p>,"2,335,955.0","3,289,219,500.0","1,000,000,000.0",2021-11-30 21:41:56
81,<a href=https://cryptocompare.com/coins/titan/overview>TITAN</a>,<a href=https://cryptocompare.com/coins/titan/overview>TitanSwap</a>,3.5,<p class=red>-0.09%</p>,<p class=red>-3.29%</p>,"79,655.0","3,500,669,325.0","1,000,000,000.0",2021-11-30 21:41:56
82,<a href=https://cryptocompare.com/coins/nu/overview>NU</a>,<a href=https://cryptocompare.com/coins/nu/overview>NuCypher</a>,0.9,<p class=red>-0.01%</p>,<p class=red>-1.51%</p>,"18,179,725.0","3,514,335,328.0","3,885,390,081.0",2021-11-30 21:41:54
83,<a href=https://cryptocompare.com/coins/enj/overview>ENJ</a>,<a href=https://cryptocompare.com/coins/enj/overview>Enjin Coin</a>,3.49,<p class=red>-1.55%</p>,<p class=red>-6.88%</p>,"216,525,373.0","3,490,000,000.0","1,000,000,000.0",2021-11-30 21:41:55
84,<a href=https://cryptocompare.com/coins/stx/overview>STX</a>,<a href=https://cryptocompare.com/coins/stx/overview>Stacks</a>,2.67,<p class=red>-1.36%</p>,<p class=green>+25.88%</p>,"121,164,842.0","3,441,486,906.0","1,286,537,161.0",2021-11-30 21:40:50
85,<a href=https://cryptocompare.com/coins/cake/overview>CAKE</a>,<a href=https://cryptocompare.com/coins/cake/overview>PancakeSwap</a>,13.97,<p class=red>-0.44%</p>,<p class=red>-4.16%</p>,"75,729,715.0","3,427,970,973.0","245,342,900.0",2021-11-30 21:41:54
86,<a href=https://cryptocompare.com/coins/one/overview>ONE</a>,<a href=https://cryptocompare.com/coins/one/overview>Harmony</a>,0.25,<p class=red>-1.86%</p>,<p class=red>-6.54%</p>,"85,291,587.0","3,354,182,952.0","13,262,882,373.0",2021-11-30 21:41:40
87,<a href=https://cryptocompare.com/coins/xdc/overview>XDC</a>,<a href=https://cryptocompare.com/coins/xdc/overview>Xinfin Network</a>,0.09,<p class=green>+0.01%</p>,<p class=green>+0.43%</p>,"554,585.0","3,377,237,987.0","37,705,012,698.0",2021-11-30 21:41:52
88,<a href=https://cryptocompare.com/coins/xch/overview>XCH</a>,<a href=https://cryptocompare.com/coins/xch/overview>Chia</a>,137.56,<p class=red>-0.47%</p>,<p class=red>-2.0%</p>,"5,379,603.0","3,217,118,134.0","23,387,498.0",2021-11-30 21:41:56
89,<a href=https://cryptocompare.com/coins/leo/overview>LEO</a>,<a href=https://cryptocompare.com/coins/leo/overview>LEO Token</a>,3.39,<p class=red>-0.67%</p>,<p class=green>+1.93%</p>,"460,722.0","3,186,446,815.0","940,509,685.0",2021-11-30 21:41:57
90,<a href=https://cryptocompare.com/coins/btt/overview>BTT</a>,<a href=https://cryptocompare.com/coins/btt/overview>BitTorrent</a>,0.0,<p class=green>+0.25%</p>,<p class=red>-0.84%</p>,"347,940,192.0","3,155,093,169.0","989,988,443,432.0",2021-11-30 21:32:26
91,<a href=https://cryptocompare.com/coins/rose/overview>ROSE</a>,<a href=https://cryptocompare.com/coins/rose/overview>Oasis Labs</a>,0.3,<p class=red>-2.18%</p>,<p class=red>-13.68%</p>,"118,609,921.0","3,047,000,000.0","10,000,000,000.0",2021-11-30 21:41:27
92,<a href=https://cryptocompare.com/coins/movr/overview>MOVR</a>,<a href=https://cryptocompare.com/coins/movr/overview>Moonriver</a>,297.83,<p class=red>-0.79%</p>,<p class=red>-8.53%</p>,"2,255,885.0","3,029,634,284.0","10,172,361.0",2021-11-30 21:41:52
93,<a href=https://cryptocompare.com/coins/mkr/overview>MKR</a>,<a href=https://cryptocompare.com/coins/mkr/overview>Maker</a>,"3,021.67",<p class=red>-1.64%</p>,<p class=red>-2.32%</p>,"42,697,943.0","2,990,336,328.0","989,630.0",2021-11-30 21:42:01
94,<a href=https://cryptocompare.com/coins/bsv/overview>BSV</a>,<a href=https://cryptocompare.com/coins/bsv/overview>Bitcoin SV</a>,151.53,<p class=red>-0.11%</p>,<p class=green>+0.53%</p>,"64,773,130.0","2,865,628,591.0","18,911,295.0",2021-11-30 21:41:27
95,<a href=https://cryptocompare.com/coins/xec/overview>XEC</a>,<a href=https://cryptocompare.com/coins/xec/overview>eCash</a>,0.0,<p class=green>+0.88%</p>,<p class=red>-2.62%</p>,"14,552,510.0","2,808,218,042.0","18,897,833,396,789.0",2021-11-30 21:20:56
96,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,2.81,<p class=red>-1.76%</p>,<p class=green>+9.27%</p>,"7,814,532.0","2,806,963,667.0","1,000,000,000.0",2021-11-30 21:41:54
97,<a href=https://cryptocompare.com/coins/comp/overview>COMP</a>,<a href=https://cryptocompare.com/coins/comp/overview>Compound Governance Token</a>,277.73,<p class=red>-1.72%</p>,<p class=red>-4.11%</p>,"41,150,012.0","2,777,300,000.0","10,000,000.0",2021-11-30 21:42:01
98,<a href=https://cryptocompare.com/coins/cel/overview>CEL</a>,<a href=https://cryptocompare.com/coins/cel/overview>Celsius Network</a>,3.83,<p class=red>-0.13%</p>,<p class=green>+0.5%</p>,"2,691,714.0","2,659,649,997.0","695,151,593.0",2021-11-30 21:36:17
